MatchID,Team,WK,11309
0,Sunrisers Hyderabad,NV Ojha,11309
0,Royal Challengers Bangalore,KM Jadhav,11310
1,Mumbai Indians,PA Patel,11310
1,Rising Pune Supergiant,MS Dhoni,11311
2,Gujarat Lions,KD Karthik,11311
2,Kolkata Knight Riders,RV Uthappa,11312
3,Rising Pune Supergiant,MS Dhoni,11312
3,Kings XI Punjab,WP Saha,11313
4,Royal Challengers Bangalore,Vishnu Vinod,11313
4,Delhi Daredevils,RR Pant,11314
5,Gujarat Lions,KD Karthik,11314
5,Sunrisers Hyderabad,NV Ojha,11315
6,Kolkata Knight Riders,RV Uthappa,11315
6,Mumbai Indians,PA Patel,11316
7,Royal Challengers Bangalore,Vishnu Vinod,11316
7,Kings XI Punjab,WP Saha,11317
8,Delhi Daredevils,RR Pant,11317
8,Rising Pune Supergiant,MS Dhoni,11318
9,Sunrisers Hyderabad,NV Ojha,11318
9,Mumbai Indians,PA Patel,11319
10,Kings XI Punjab,WP Saha,11319
10,Kolkata Knight Riders,RV Uthappa,11320
11,Royal Challengers Bangalore,KM Jadhav,11320
11,Mumbai Indians,PA Patel,11321
12,Rising Pune Supergiant,MS Dhoni,11321
12,Gujarat Lions,KD Karthik,11322
13,Kolkata Knight Riders,RV Uthappa,11322
13,Sunrisers Hyderabad,NV Ojha,11323
14,Delhi Daredevils,RR Pant,11323
14,Kings XI Punjab,WP Saha,11324
15,Gujarat Lions,KD Karthik,11324
15,Mumbai Indians,PA Patel,11325
16,Rising Pune Supergiant,MS Dhoni,11325
16,Royal Challengers Bangalore,KM Jadhav,11326
17,Delhi Daredevils,RR Pant,11326
17,Kolkata Knight Riders,RV Uthappa,11327
18,Sunrisers Hyderabad,NV Ojha,11327
18,Kings XI Punjab,WP Saha,11328
19,Royal Challengers Bangalore,KM Jadhav,11328
19,Gujarat Lions,KD Karthik,11329
20,Sunrisers Hyderabad,NV Ojha,11329
20,Delhi Daredevils,RR Pant,11330
21,Kings XI Punjab,WP Saha,11330
21,Mumbai Indians,PA Patel,11331
22,Kolkata Knight Riders,RV Uthappa,11331
22,Gujarat Lions,KD Karthik,11332
23,Sunrisers Hyderabad,NV Ojha,11332
23,Rising Pune Supergiant,MS Dhoni,11333
24,Mumbai Indians,PA Patel,11333
24,Delhi Daredevils,RR Pant,11334
25,Kings XI Punjab,WP Saha,11334
25,Gujarat Lions,KD Karthik,11335
26,Kolkata Knight Riders,RV Uthappa,11335
26,Royal Challengers Bangalore,KM Jadhav,11336
27,Rising Pune Supergiant,MS Dhoni,11336
27,Mumbai Indians,PA Patel,11337
28,Rising Pune Supergiant,MS Dhoni,11337
28,Kolkata Knight Riders,RV Uthappa,11338
29,Royal Challengers Bangalore,KM Jadhav,11338
29,Gujarat Lions,KD Karthik,11339
30,Delhi Daredevils,RR Pant,11339
30,Kolkata Knight Riders,RV Uthappa,11340
31,Sunrisers Hyderabad,NV Ojha,11340
31,Kings XI Punjab,WP Saha,11341
32,Rising Pune Supergiant,MS Dhoni,11341
32,Royal Challengers Bangalore,KM Jadhav,11342
33,Gujarat Lions,KD Karthik,11342
33,Mumbai Indians,PA Patel,11343
34,Delhi Daredevils,RR Pant,11343
34,Kings XI Punjab,WP Saha,11344
35,Sunrisers Hyderabad,NV Ojha,11344
35,Kolkata Knight Riders,RV Uthappa,11345
36,Royal Challengers Bangalore,KM Jadhav,11345
36,Mumbai Indians,PA Patel,11346
37,Gujarat Lions,KD Karthik,11346
37,Rising Pune Supergiant,MS Dhoni,11347
38,Sunrisers Hyderabad,NV Ojha,11347
38,Delhi Daredevils,RR Pant,
39,Kolkata Knight Riders,SP Jackson,
39,Rising Pune Supergiant,MS Dhoni,
40,Gujarat Lions,KD Karthik,
40,Delhi Daredevils,RR Pant,
41,Kings XI Punjab,WP Saha,
41,Royal Challengers Bangalore,KM Jadhav,
42,Rising Pune Supergiant,MS Dhoni,
